mnemonic,family,eew_bits,width,mop,nf,sumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vssseg8e16.v,Segment strided,16,0b101,0b10,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg8e32.v,Segment strided,32,0b110,0b10,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg8e64.v,Segment strided,64,0b111,0b10,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vssseg8e8.v,Segment strided,8,0b000,0b10,0b111,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg2e16.v,Segment unit-stride,16,0b101,0b00,0b001,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg2e32.v,Segment unit-stride,32,0b110,0b00,0b001,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg2e64.v,Segment unit-stride,64,0b111,0b00,0b001,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg2e8.v,Segment unit-stride,8,0b000,0b00,0b001,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg3e16.v,Segment unit-stride,16,0b101,0b00,0b010,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg3e32.v,Segment unit-stride,32,0b110,0b00,0b010,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg3e64.v,Segment unit-stride,64,0b111,0b00,0b010,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg3e8.v,Segment unit-stride,8,0b000,0b00,0b010,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg4e16.v,Segment unit-stride,16,0b101,0b00,0b011,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg4e32.v,Segment unit-stride,32,0b110,0b00,0b011,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg4e64.v,Segment unit-stride,64,0b111,0b00,0b011,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg4e8.v,Segment unit-stride,8,0b000,0b00,0b011,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg5e16.v,Segment unit-stride,16,0b101,0b00,0b100,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg5e32.v,Segment unit-stride,32,0b110,0b00,0b100,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg5e64.v,Segment unit-stride,64,0b111,0b00,0b100,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg5e8.v,Segment unit-stride,8,0b000,0b00,0b100,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg6e16.v,Segment unit-stride,16,0b101,0b00,0b101,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg6e32.v,Segment unit-stride,32,0b110,0b00,0b101,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg6e64.v,Segment unit-stride,64,0b111,0b00,0b101,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg6e8.v,Segment unit-stride,8,0b000,0b00,0b101,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg7e16.v,Segment unit-stride,16,0b101,0b00,0b110,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg7e32.v,Segment unit-stride,32,0b110,0b00,0b110,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg7e64.v,Segment unit-stride,64,0b111,0b00,0b110,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg7e8.v,Segment unit-stride,8,0b000,0b00,0b110,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg8e16.v,Segment unit-stride,16,0b101,0b00,0b111,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
