mnemonic,family,profile,eew_bits,width,mop,nf,lumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vluxseg3ei32.v,Segment indexed unordered,Zve32x/Zve64x base,32,0b110,0b01,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg3ei64.v,Segment indexed unordered,RV32 V 제외 (EEW=64 index),64,0b111,0b01,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg3ei8.v,Segment indexed unordered,Zve32x/Zve64x base,8,0b000,0b01,0b010,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg4ei16.v,Segment indexed unordered,Zve32x/Zve64x base,16,0b101,0b01,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg4ei32.v,Segment indexed unordered,Zve32x/Zve64x base,32,0b110,0b01,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg4ei64.v,Segment indexed unordered,RV32 V 제외 (EEW=64 index),64,0b111,0b01,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg4ei8.v,Segment indexed unordered,Zve32x/Zve64x base,8,0b000,0b01,0b011,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg5ei16.v,Segment indexed unordered,Zve32x/Zve64x base,16,0b101,0b01,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg5ei32.v,Segment indexed unordered,Zve32x/Zve64x base,32,0b110,0b01,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg5ei64.v,Segment indexed unordered,RV32 V 제외 (EEW=64 index),64,0b111,0b01,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg5ei8.v,Segment indexed unordered,Zve32x/Zve64x base,8,0b000,0b01,0b100,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg6ei16.v,Segment indexed unordered,Zve32x/Zve64x base,16,0b101,0b01,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg6ei32.v,Segment indexed unordered,Zve32x/Zve64x base,32,0b110,0b01,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg6ei64.v,Segment indexed unordered,RV32 V 제외 (EEW=64 index),64,0b111,0b01,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
vluxseg6ei8.v,Segment indexed unordered,Zve32x/Zve64x base,8,0b000,0b01,0b101,vs2/rs2,variable,no,no,tb_vcore_vld_decode_table,,,범위 밖 — decode가 illegal_op으로 보고
